Rk,Year,Conf,W,L,T,Pct,W,L,T,Pct,SRS,SOS,AP Pre,AP High,AP Post,CFP High,CFP Final,Coach(es),Bowl,Notes
1,2024,SEC,7,1,0,0.875,3,1,0,0.75,18.8,2.68,4,1,,,,Steve Sarkisian (7-1),,
2,2023,Big 12,12,2,0,0.857,8,1,0,0.889,20.32,6.61,11,3,3,3,3,Steve Sarkisian (12-2),Sugar Bowl (L),
3,2022,Big 12,8,5,0,0.615,6,3,0,0.667,15.92,8.16,,18,25,18,20,Steve Sarkisian (8-5),Alamo Bowl (L),
4,2021,Big 12,5,7,0,0.417,3,6,0,0.333,5.11,4.86,21,15,,,,Steve Sarkisian (5-7),,
5,2020,Big 12,7,3,0,0.7,5,3,0,0.625,11.95,3.75,14,8,19,17,20,Tom Herman (7-3),Alamo Bowl (W),
6,2019,Big 12,8,5,0,0.615,5,4,0,0.556,12.18,5.8,10,9,25,19,,Tom Herman (8-5),Alamo Bowl (W),
7,2018,Big 12,10,4,0,0.714,7,2,0,0.778,11.15,6.3,23,6,9,14,15,Tom Herman (10-4),Sugar Bowl (W),
8,2017,Big 12,7,6,0,0.538,5,4,0,0.556,8.21,3.91,23,23,,,,Tom Herman (7-6),Texas Bowl (W),
9,2016,Big 12,5,7,0,0.417,3,6,0,0.333,1.75,2.42,,11,,,,Charlie Strong (5-7),,
10,2015,Big 12,5,7,0,0.417,4,5,0,0.444,1.09,4.84,,,,,,Charlie Strong (5-7),,
11,2014,Big 12,6,7,0,0.462,5,4,0,0.556,3.98,5.29,,,,,,Charlie Strong (6-7),Texas Bowl (L),
12,2013,Big 12,8,5,0,0.615,7,2,0,0.778,7.45,5.45,15,15,,,,Mack Brown (8-5),Alamo Bowl (L),
13,2012,Big 12,9,4,0,0.692,5,4,0,0.556,11.18,5.57,15,11,19,,,Mack Brown (9-4),Alamo Bowl (W),
14,2011,Big 12,8,5,0,0.615,4,5,0,0.444,12.16,7.16,,11,,,,Mack Brown (8-5),Holiday Bowl (W),
15,2010,Big 12,5,7,0,0.417,2,6,0,0.25,1.71,2.63,5,5,,,,Mack Brown (5-7),,
16,2009,Big 12,13,1,0,0.929,8,0,0,1,20.21,3.49,2,2,2,,,Mack Brown (13-1),BCS Championship (L),
17,2008,Big 12,12,1,0,0.923,7,1,0,0.875,23.98,6.05,11,1,4,,,Mack Brown (12-1),Fiesta Bowl (W),
